,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_steff,koi_slogg,koi_srad
0,10797460,K00752.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,9.48803557,0.146,2.9575,615.8,2.26,793.0,35.8,5455.0,4.467,0.927
1,10797460,K00752.02,CONFIRMED,CANDIDATE,0.969,0,0,0,0,54.4183827,0.586,4.507,874.8,2.83,443.0,25.8,5455.0,4.467,0.927
2,10811496,K00753.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.89913995,0.969,1.7822,10829.0,14.6,638.0,76.3,5853.0,4.544,0.868
3,10848459,K00754.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.7369524530000002,1.276,2.4064099999999997,8079.2,33.46,1395.0,505.6,5805.0,4.564,0.791
4,10854555,K00755.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.525591777,0.701,1.6545,603.3,2.75,1406.0,40.9,6031.0,4.438,1.046
5,10872983,K00756.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.09432054,0.538,4.5945,1517.5,3.9,835.0,66.5,6046.0,4.486000000000001,0.972
6,10872983,K00756.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.13443512,0.762,3.1402,686.0,2.77,1160.0,40.2,6046.0,4.486000000000001,0.972
7,10872983,K00756.03,CONFIRMED,CANDIDATE,0.992,0,0,0,0,2.56658897,0.755,2.429,226.5,1.59,1360.0,15.0,6046.0,4.486000000000001,0.972
8,6721123,K00114.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,7.36178958,1.169,5.022,233.7,39.21,1342.0,47.7,6227.0,3.986,1.958
9,10910878,K00757.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.06864674,0.052,3.5347,4914.3,5.76,600.0,161.9,5031.0,4.485,0.848
10,11446443,K00001.01,CONFIRMED,CANDIDATE,0.811,0,0,0,0,2.470613377,0.818,1.7431900000000002,14231.0,13.04,1339.0,4304.3,5820.0,4.457,0.964
11,10666592,K00002.01,CONFIRMED,CANDIDATE,1.0,0,1,0,0,2.2047354169999998,0.224,3.88864,6674.7,16.1,2048.0,5945.9,6440.0,4.019,1.952
12,6922244,K00010.01,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.5224984289999997,0.631,3.19843,9145.7,14.59,1521.0,1741.5,6225.0,4.169,1.451
13,10984090,K00112.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.709214104,0.051,2.6302,131.1,1.16,1206.0,50.6,5833.0,4.407,1.022
14,10419211,K00742.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,11.521446064000001,2.483,3.6399,17984.0,150.51,753.0,622.1,5795.0,4.553999999999999,0.848
15,10464078,K00743.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.40393776,0.804,12.2155,8918.7,7.18,523.0,214.7,5043.0,4.591,0.68
16,10480982,K00744.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.221388942,1.065,4.798430000000001,74284.0,49.29,698.0,2317.0,6117.0,4.496,0.947
17,10485250,K00745.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,16.46983774,0.292,9.4378,10479.0,7.94,595.0,303.4,5152.0,4.5169999999999995,0.786
18,10526549,K00746.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,9.27358173,0.387,3.2875,1288.3,2.47,649.0,87.2,4856.0,4.583,0.696
19,10583066,K00747.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.02930329,0.258,1.5821,1912.7,2.85,678.0,65.4,4537.0,4.648,0.672
20,10583180,K00748.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,2.6963706519999997,0.044,3.6129,397.9,1.58,1066.0,48.2,4989.0,4.504,0.819
21,10601284,K00749.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.349553819,0.092,3.0278,831.0,2.55,919.0,60.6,5185.0,4.44,0.91
22,10601284,K00749.02,CONFIRMED,CANDIDATE,0.98,0,0,0,0,3.94105221,0.226,2.5984,363.3,1.7,1018.0,28.9,5185.0,4.44,0.91
23,10601284,K00749.03,CONFIRMED,CANDIDATE,0.971,0,0,0,0,8.10904807,0.025,3.596,217.4,1.3,800.0,14.1,5185.0,4.44,0.91
25,10662202,K00750.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,21.67699193,0.896,3.4555,857.2,2.95,530.0,34.3,4954.0,4.5,0.828
26,10682541,K00751.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.99677968,0.71,2.1717,934.7,2.78,917.0,28.2,5339.0,4.552,0.847
